평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,자료구입비(천원)
2024,LIBTYPE000002,2030111007,더불어 숲,대구,북구,36041,0,7600,7600,11000
2024,LIBTYPE000002,2030111012,제3의시간,서울,종로구,4907,1,0,0,55421
2024,LIBTYPE000002,2060141162,가람도서관,경기,파주시,61090,7,26190,129682,72716
2024,LIBTYPE000002,2060111000,가양도서관,서울,강서구,67235,7,88169,151890,99802
2024,LIBTYPE000002,2060111042,가온도서관,서울,중구,81906,6,21296,70796,81815
2024,LIBTYPE000002,2060125007,갈마도서관,대전,서구,205608,4,8791,180212,105827
2024,LIBTYPE000002,2060141284,갈매도서관,경기,구리시,50487,5.5,10392,259023,92820
2024,LIBTYPE000002,2060111092,갈산도서관,서울,양천구,50889,6,68103,112039,152991
2024,LIBTYPE000002,2060123011,갈산도서관,인천,부평구,29673,4,3215,32296,19721
2024,LIBTYPE000002,2060143024,감곡도서관,충북,음성군,39236,2,764,9903,13086
2024,LIBTYPE000002,2060141023,감골도서관,경기,안산시,166426,8,3373,132771,1047100
2024,LIBTYPE000002,2060147006,감포도서관,경북,경주시,57160,2,2584,9246,24080
2024,LIBTYPE000002,2060143026,강내도서관,충북,청주시,92975,2,38882,113752,40500
2024,LIBTYPE000002,2060111067,개봉도서관,서울,구로구,38967,2,2798,51845,29761
2024,LIBTYPE000002,2060111018,거마도서관,서울,송파구,51015,6,11233,99590,49461
2024,LIBTYPE000002,2060823014,검단도서관,인천,서구,56135,4,4885,73558,28024
2024,LIBTYPE000002,2060123028,검암도서관,인천,서구,56058,7,27289,129769,125224
2024,LIBTYPE000002,2060147038,경북도서관,경북,예천군,194573,7,8867,211560,770631
2024,LIBTYPE000002,2060144001,계룡도서관,충남,계룡시,79909,0,4228,82899,64257
2024,LIBTYPE000002,2060141130,고읍도서관,경기,양주시,66061,2,6733,76859,26149
2024,LIBTYPE000002,2060142020,관전도서관,강원,철원군,36139,1,4151,4152,20000
